raw_track_id,title,artist_name,album,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre,market,stream_date
track_001,Blinding Lights,The Weeknd,After Hours,2020-03-20,200040,95,0.514,0.73,1,-5.934,1,0.0598,0.00146,0.0,0.0897,0.334,171.005,pop,US,2023-01-15
track_002,Shape of You,Ed Sheeran,Divide,2017-01-06,233713,93,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,pop,US,2023-01-15
track_003,Someone Like You,Adele,21,2011-01-24,285000,92,0.501,0.167,10,-7.651,1,0.0291,0.397,0.0,0.106,0.233,67.365,soul,UK,2023-01-15
track_004,Uptown Funk,Mark Ronson,Uptown Special,2015-01-13,269000,91,0.795,0.863,7,-4.488,1,0.0543,0.00583,0.0,0.0775,0.801,114.984,funk,US,2023-01-16
track_005,Rolling in the Deep,Adele,21,2011-01-24,228000,90,0.739,0.769,2,-4.9,0,0.0283,0.0309,0.0,0.104,0.548,105.015,soul,UK,2023-01-16
track_001,Blinding Lights,The Weeknd,After Hours,2020-03-20,200040,95,0.514,0.73,1,-5.934,1,0.0598,0.00146,0.0,0.0897,0.334,171.005,pop,UK,2023-01-16
track_002,Shape of You,Ed Sheeran,Divide,2017-01-06,233713,93,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,pop,UK,2023-01-17
track_006,Levitating,Dua Lipa,Future Nostalgia,2020-03-27,203064,89,0.695,0.825,6,-3.787,0,0.0632,0.0082,0.000015,0.0871,0.916,102.977,pop,US,2023-01-17
track_007,Bad Guy,Billie Eilish,When We All Fall Asleep,2019-03-29,194088,94,0.563,0.534,7,-11.331,1,0.375,0.0804,0.0,0.101,0.538,135.087,electropop,US,2023-01-18
track_008,Sunflower,Post Malone,Spider-Man: Into the Spider-Verse,2018-10-19,157560,88,0.764,0.483,7,-6.051,1,0.0435,0.401,0.0,0.332,0.925,89.977,hip-hop,US,2023-01-18
track_003,Someone Like You,Adele,21,2011-01-24,285000,92,0.501,0.167,10,-7.651,1,0.0291,0.397,0.0,0.106,0.233,67.365,soul,US,2023-01-18
track_004,Uptown Funk,Mark Ronson,Uptown Special,2015-01-13,269000,91,0.795,0.863,7,-4.488,1,0.0543,0.00583,0.0,0.0775,0.801,114.984,funk,UK,2023-01-19
track_009,Dynamite,BTS,BE,2020-08-21,199054,87,0.746,0.765,2,-6.321,0,0.0916,0.0142,0.0,0.0931,0.737,114.044,k-pop,KR,2023-01-19
track_010,Watermelon Sugar,Harry Styles,Fine Line,2019-12-13,174000,90,0.548,0.816,5,-4.209,1,0.0465,0.122,0.0,0.0811,0.557,95.39,pop,US,2023-01-20
track_001,Blinding Lights,The Weeknd,After Hours,2020-03-20,200040,95,0.514,0.73,1,-5.934,1,0.0598,0.00146,0.0,0.0897,0.334,171.005,pop,CA,2023-01-20
track_006,Levitating,Dua Lipa,Future Nostalgia,2020-03-27,203064,89,0.695,0.825,6,-3.787,0,0.0632,0.0082,0.000015,0.0871,0.916,102.977,pop,UK,2023-01-21
track_007,Bad Guy,Billie Eilish,When We All Fall Asleep,2019-03-29,194088,94,0.563,0.534,7,-11.331,1,0.375,0.0804,0.0,0.101,0.538,135.087,electropop,UK,2023-01-21
track_002,Shape of You,Ed Sheeran,Divide,2017-01-06,233713,93,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,pop,CA,2023-01-22
